 1.62181010e+08  2.15797368e+00  1.62181010e+08  2.15797443e+00  1.62181010e+08 -1.77981256e+02  1.62181010e+08  2.01684231e+00  1.62181010e+08 -8.74228536e+01  1.62181010e+08  8.17857397e+00  1.62181010e+08 -9.83675596e+01 
 1.65958691e+08  2.16114444e+00  1.65958691e+08  2.16114517e+00  1.65958691e+08 -1.78034473e+02  1.65958691e+08  1.96358117e+00  1.65958691e+08 -8.72194060e+01  1.65958691e+08  8.18174472e+00  1.65958691e+08 -9.81645236e+01 
 1.69824365e+08  2.16418412e+00  1.69824365e+08  2.16418484e+00  1.69824365e+08 -1.78087026e+02  1.69824365e+08  1.91098268e+00  1.69824365e+08 -8.70161011e+01  1.69824365e+08  8.18478439e+00  1.69824365e+08 -9.79616131e+01 
 1.73780083e+08  2.16709765e+00  1.73780083e+08  2.16709835e+00  1.73780083e+08 -1.78138920e+02  1.73780083e+08  1.85904220e+00  1.73780083e+08 -8.68129336e+01  1.73780083e+08  8.18769791e+00  1.73780083e+08 -9.77588233e+01 
 1.77827941e+08  2.16988979e+00  1.77827941e+08  2.16989047e+00  1.77827941e+08 -1.78190161e+02  1.77827941e+08  1.80775408e+00  1.77827941e+08 -8.66098983e+01  1.77827941e+08  8.19049004e+00  1.77827941e+08 -9.75561496e+01 
 1.81970086e+08  2.17256519e+00  1.81970086e+08  2.17256585e+00  1.81970086e+08 -1.78240755e+02  1.81970086e+08  1.75711174e+00  1.81970086e+08 -8.64069900e+01  1.81970086e+08  8.19316543e+00  1.81970086e+08 -9.73535876e+01 
 1.86208714e+08  2.17512833e+00  1.86208714e+08  2.17512897e+00  1.86208714e+08 -1.78290709e+02  1.86208714e+08  1.70710773e+00  1.86208714e+08 -8.62042039e+01  1.86208714e+08  8.19572856e+00  1.86208714e+08 -9.71511330e+01 
 1.90546072e+08  2.17758356e+00  1.90546072e+08  2.17758418e+00  1.90546072e+08 -1.78340032e+02  1.90546072e+08  1.65773380e+00  1.90546072e+08 -8.60015353e+01  1.90546072e+08  8.19818378e+00  1.90546072e+08 -9.69487817e+01 
 1.94984460e+08  2.17993510e+00  1.94984460e+08  2.17993569e+00  1.94984460e+08 -1.78388733e+02  1.94984460e+08  1.60898096e+00  1.94984460e+08 -8.57989796e+01  1.94984460e+08  8.20053531e+00  1.94984460e+08 -9.67465297e+01 
 1.99526231e+08  2.18218700e+00  1.99526231e+08  2.18218758e+00  1.99526231e+08 -1.78436821e+02  1.99526231e+08  1.56083950e+00  1.99526231e+08 -8.55965322e+01  1.99526231e+08  8.20278720e+00  1.99526231e+08 -9.65443730e+01 
 2.04173794e+08  2.18434322e+00  2.04173794e+08  2.18434378e+00  2.04173794e+08 -1.78484307e+02  2.04173794e+08  1.51329910e+00  2.04173794e+08 -8.53941890e+01  2.04173794e+08  8.20494341e+00  2.04173794e+08 -9.63423079e+01 
 2.08929613e+08  2.18640756e+00  2.08929613e+08  2.18640808e+00  2.08929613e+08 -1.78531201e+02  2.08929613e+08  1.46634881e+00  2.08929613e+08 -8.51919458e+01  2.08929613e+08  8.20700773e+00  2.08929613e+08 -9.61403307e+01 
 2.13796209e+08  2.18838368e+00  2.13796209e+08  2.18838418e+00  2.13796209e+08 -1.78577516e+02  2.13796209e+08  1.41997716e+00  2.13796209e+08 -8.49897985e+01  2.13796209e+08  8.20898384e+00  2.13796209e+08 -9.59384380e+01 
 2.18776162e+08  2.19027513e+00  2.18776162e+08  2.19027560e+00  2.18776162e+08 -1.78623262e+02  2.18776162e+08  1.37417213e+00  2.18776162e+08 -8.47877434e+01  2.18776162e+08  8.21087528e+00  2.18776162e+08 -9.57366263e+01 
