# Logfile created on 2026-09-01 00:04:13 -0400 by logger.rb/61378
2026-09-01 00:04:13 -0400: Memory Usage (416208K) : passiv_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416208K) : passiv_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416208K) : passiv_sbump has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416208K) : passiv_pillar has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416208K) : passiv_pdl has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416208K) : metal2_drw has 34 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416208K) : metal2_pin has 12 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416208K) : metal2_mask has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416208K) : metal2_filler has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416208K) : metal2_nofill has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416208K) : metal2_slit has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416208K) : metal2_text has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416208K) : metal2_opc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416208K) : metal2_noqrc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416472K) : metal2_res has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416472K) : metal2_iprobe has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416472K) : metal2_diffprb has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416472K) : baspoly_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416472K) : baspoly_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416472K) : psd_drw has 20 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416472K) : nldb_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416736K) : digibnd_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416736K) : via1_drw has 446 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416736K) : backmetal1_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416736K) : backmetal1_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (416736K) : backmetal1_mask has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417000K) : backmetal1_filler has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417000K) : backmetal1_nofill has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417000K) : backmetal1_slit has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417000K) : backmetal1_text has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417000K) : backmetal1_opc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417000K) : backmetal1_noqrc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417264K) : backmetal1_res has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417264K) : backmetal1_iprobe has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417264K) : backmetal1_diffprb has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417264K) : backpassiv_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417264K) : res_drw has 12 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417264K) : sram_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417528K) : trans_drw has 12 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417528K) : ind_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417528K) : ind_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417528K) : ind_text has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417528K) : salblock_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417528K) : via2_drw has 184 polygons
