 5.20833000e-15  6.16589867e-05 
 1.04166600e-14  1.17542532e-04 
 2.08333200e-14  2.21725953e-04 
 4.16666400e-14  4.02479019e-04 
 8.33332800e-14  7.08490752e-04 
 1.66666560e-13  1.16172093e-03 
 3.33333120e-13  1.62884905e-03 
 5.20833000e-13  1.75385115e-03 
 5.52358728e-13  1.75050024e-03 
 6.15410183e-13  1.73870649e-03 
 7.41513093e-13  1.69262323e-03 
 9.93718913e-13  1.55557443e-03 
 1.49813055e-12  1.23333668e-03 
 2.01896355e-12  9.23730229e-04 
 2.53979655e-12  6.84339734e-04 
 3.06062955e-12  5.08191559e-04 
 3.58146255e-12  3.77826904e-04 
 4.10229555e-12  2.82685717e-04 
 4.62312855e-12  2.12846840e-04 
 5.14396155e-12  1.61996412e-04 
 5.66479455e-12  1.24815628e-04 
 6.18562755e-12  9.78187365e-05 
 6.70646055e-12  7.81342388e-05 
 7.22729355e-12  6.38853128e-05 
 7.74812655e-12  5.35189361e-05 
 8.26895955e-12  4.60444387e-05 
 8.78979255e-12  4.06175845e-05 
 9.31062555e-12  3.67245974e-05 
 9.83145855e-12  3.39032814e-05 
 1.03522916e-11  3.18938211e-05 
 1.08731246e-11  3.04396528e-05 
 1.13939576e-11  2.94147661e-05 
 1.19147906e-11  2.86734213e-05 
 1.24356236e-11  2.81591856e-05 
 1.29564566e-11  2.77863397e-05 
 1.34772896e-11  2.75339655e-05 
 1.39981226e-11  2.73491804e-05 
 1.45189556e-11  2.72286722e-05 
 1.50397886e-11  2.71378401e-05 
 1.55606216e-11  2.70816639e-05 
 1.60814546e-11  2.70360009e-05 
 1.66022876e-11  2.70093524e-05 
 1.71231206e-11  2.69837931e-05 
 1.76439536e-11  2.69689583e-05 
 1.81647866e-11  2.69508064e-05 
 1.86856196e-11  2.69389588e-05 
 1.92064526e-11  2.69219432e-05 
 1.97272856e-11  2.69088541e-05 
 2.02481186e-11  2.68900221e-05 
 2.07689516e-11  2.68738227e-05 
 2.12897846e-11  2.68519222e-05 
 2.18106176e-11  2.68319400e-05 
 2.23314506e-11  2.68065773e-05 
 2.28522836e-11  2.67827328e-05 
 2.33731166e-11  2.67539373e-05 
 2.38939496e-11  2.67264331e-05 
 2.44147826e-11  2.66944324e-05 
 2.49356156e-11  2.66635932e-05 
 2.54564486e-11  2.66286979e-05 
 2.59772816e-11  2.65948905e-05 
 2.64981146e-11  2.65574360e-05 
 2.70189476e-11  2.65210290e-05 
 2.75397806e-11  2.64813468e-05 
 2.80606136e-11  2.64426914e-05 
 2.85814466e-11  2.64010952e-05 
 2.91022796e-11  2.63605173e-05 
 2.96231126e-11  2.63172974e-05 
 3.01439456e-11  2.62750942e-05 
 3.06647786e-11  2.62305151e-05 
 3.11856116e-11  2.61869551e-05 
 3.17064446e-11  2.61412557e-05 
 3.22272776e-11  2.60965794e-05 
 3.27481106e-11  2.60499736e-05 
 3.32689436e-11  2.60043951e-05 
 3.37897766e-11  2.59570731e-05 
 3.43106096e-11  2.59107814e-05 
 3.48314426e-11  2.58629110e-05 
 3.53522756e-11  2.58160719e-05 
 3.58731086e-11  2.57677995e-05 
 3.63939416e-11  2.57205566e-05 
 3.69147746e-11  2.56720083e-05 
 3.74356076e-11  2.56244846e-05 
 3.79564406e-11  2.55757672e-05 
 3.84772736e-11  2.55280656e-05 
 3.89981066e-11  2.54792672e-05 
 3.95189396e-11  2.54314714e-05 
 4.00397726e-11  2.53826621e-05 
 4.05606056e-11  2.53348372e-05 
 4.10814386e-11  2.52860686e-05 
 4.16022716e-11  2.52382610e-05 
