 1.00000000e+08  2.01164618e+00  1.00000000e+08  2.01164677e+00  1.00000000e+08 -1.76803792e+02  1.00000000e+08  3.19357036e+00  1.00000000e+08 -8.47256671e+01  1.00000000e+08  8.03224639e+00  1.00000000e+08 -1.12753000e+02 
 1.02329299e+08  2.01872502e+00  1.02329299e+08  2.01872560e+00  1.02329299e+08 -1.76867538e+02  1.02329299e+08  3.12976231e+00  1.02329299e+08 -8.45183550e+01  1.02329299e+08  8.03932522e+00  1.02329299e+08 -1.12543901e+02 
 1.04712855e+08  2.02554974e+00  1.04712855e+08  2.02555031e+00  1.04712855e+08 -1.76930907e+02  1.04712855e+08  3.06633077e+00  1.04712855e+08 -8.43113058e+01  1.04712855e+08  8.04614994e+00  1.04712855e+08 -1.12335133e+02 
 1.07151931e+08  2.03212693e+00  1.07151931e+08  2.03212749e+00  1.07151931e+08 -1.76993862e+02  1.07151931e+08  3.00331086e+00  1.07151931e+08 -8.41045126e+01  1.07151931e+08  8.05272712e+00  1.07151931e+08 -1.12126689e+02 
 1.09647820e+08  2.03846321e+00  1.09647820e+08  2.03846376e+00  1.09647820e+08 -1.77056372e+02  1.09647820e+08  2.94073486e+00  1.09647820e+08 -8.38979686e+01  1.09647820e+08  8.05906339e+00  1.09647820e+08 -1.11918558e+02 
 1.12201845e+08  2.04456523e+00  1.12201845e+08  2.04456577e+00  1.12201845e+08 -1.77118408e+02  1.12201845e+08  2.87863233e+00  1.12201845e+08 -8.36916668e+01  1.12201845e+08  8.06516541e+00  1.12201845e+08 -1.11710732e+02 
 1.14815362e+08  2.05043963e+00  1.14815362e+08  2.05044015e+00  1.14815362e+08 -1.77179941e+02  1.14815362e+08  2.81703020e+00  1.14815362e+08 -8.34856004e+01  1.14815362e+08  8.07103980e+00  1.14815362e+08 -1.11503201e+02 
 1.17489755e+08  2.05609301e+00  1.17489755e+08  2.05609352e+00  1.17489755e+08 -1.77240947e+02  1.17489755e+08  2.75595284e+00  1.17489755e+08 -8.32797624e+01  1.17489755e+08  8.07669318e+00  1.17489755e+08 -1.11295957e+02 
 1.20226443e+08  2.06153196e+00  1.20226443e+08  2.06153246e+00  1.20226443e+08 -1.77301406e+02  1.20226443e+08  2.69542219e+00  1.20226443e+08 -8.30741462e+01  1.20226443e+08  8.08213212e+00  1.20226443e+08 -1.11088992e+02 
 1.23026877e+08  2.06676301e+00  1.23026877e+08  2.06676349e+00  1.23026877e+08 -1.77361296e+02  1.23026877e+08  2.63545785e+00  1.23026877e+08 -8.28687448e+01  1.23026877e+08  8.08736316e+00  1.23026877e+08 -1.10882295e+02 
 1.25892541e+08  2.07179260e+00  1.25892541e+08  2.07179307e+00  1.25892541e+08 -1.77420601e+02  1.25892541e+08  2.57607714e+00  1.25892541e+08 -8.26635517e+01  1.25892541e+08  8.09239275e+00  1.25892541e+08 -1.10675860e+02 
 1.28824955e+08  2.07662713e+00  1.28824955e+08  2.07662758e+00  1.28824955e+08 -1.77479306e+02  1.28824955e+08  2.51729525e+00  1.28824955e+08 -8.24585601e+01  1.28824955e+08  8.09722727e+00  1.28824955e+08 -1.10469676e+02 
 1.31825674e+08  2.08127288e+00  1.31825674e+08  2.08127332e+00  1.31825674e+08 -1.77537396e+02  1.31825674e+08  2.45912529e+00  1.31825674e+08 -8.22537637e+01  1.31825674e+08  8.10187301e+00  1.31825674e+08 -1.10263736e+02 
 1.34896288e+08  2.08573606e+00  1.34896288e+08  2.08573647e+00  1.34896288e+08 -1.77594862e+02  1.34896288e+08  2.40157844e+00  1.34896288e+08 -8.20491559e+01  1.34896288e+08  8.10633617e+00  1.34896288e+08 -1.10058032e+02 
 1.38038426e+08  2.09002274e+00  1.38038426e+08  2.09002313e+00  1.38038426e+08 -1.77651694e+02  1.38038426e+08  2.34466399e+00  1.38038426e+08 -8.18447305e+01  1.38038426e+08  8.11062284e+00  1.38038426e+08 -1.09852555e+02 
 1.41253754e+08  2.09413890e+00  1.41253754e+08  2.09413928e+00  1.41253754e+08 -1.77707883e+02  1.41253754e+08  2.28838948e+00  1.41253754e+08 -8.16404813e+01  1.41253754e+08  8.11473900e+00  1.41253754e+08 -1.09647298e+02 
 1.44543977e+08  2.09809041e+00  1.44543977e+08  2.09809076e+00  1.44543977e+08 -1.77763425e+02  1.44543977e+08  2.23276076e+00  1.44543977e+08 -8.14364022e+01  1.44543977e+08  8.11869050e+00  1.44543977e+08 -1.09442253e+02 
 1.47910839e+08  2.10188300e+00  1.47910839e+08  2.10188332e+00  1.47910839e+08 -1.77818315e+02  1.47910839e+08  2.17778211e+00  1.47910839e+08 -8.12324873e+01  1.47910839e+08  8.12248307e+00  1.47910839e+08 -1.09237413e+02 
 1.51356125e+08  2.10552226e+00  1.51356125e+08  2.10552256e+00  1.51356125e+08 -1.77872550e+02  1.51356125e+08  2.12345629e+00  1.51356125e+08 -8.10287308e+01  1.51356125e+08  8.12612232e+00  1.51356125e+08 -1.09032770e+02 
 1.54881662e+08  2.10901368e+00  1.54881662e+08  2.10901396e+00  1.54881662e+08 -1.77926128e+02  1.54881662e+08  2.06978466e+00  1.54881662e+08 -8.08251270e+01  1.54881662e+08  8.12961372e+00  1.54881662e+08 -1.08828316e+02 
 1.58489319e+08  2.11236258e+00  1.58489319e+08  2.11236283e+00  1.58489319e+08 -1.77979050e+02  1.58489319e+08  2.01676725e+00  1.58489319e+08 -8.06216704e+01  1.58489319e+08  8.13296262e+00  1.58489319e+08 -1.08624046e+02 
 1.62181010e+08  2.11557418e+00  1.62181010e+08  2.11557440e+00  1.62181010e+08 -1.78031317e+02  1.62181010e+08  1.96440282e+00  1.62181010e+08 -8.04183556e+01  1.62181010e+08  8.13617419e+00  1.62181010e+08 -1.08419952e+02 
 1.65958691e+08  2.11865352e+00  1.65958691e+08  2.11865371e+00  1.65958691e+08 -1.78082931e+02  1.65958691e+08  1.91268899e+00  1.65958691e+08 -8.02151774e+01  1.65958691e+08  8.13925352e+00  1.65958691e+08 -1.08216027e+02 
 1.69824365e+08  2.12160554e+00  1.69824365e+08  2.12160570e+00  1.69824365e+08 -1.78133896e+02  1.69824365e+08  1.86162224e+00  1.69824365e+08 -8.00121308e+01  1.69824365e+08  8.14220552e+00  1.69824365e+08 -1.08012266e+02 
 1.73780083e+08  2.12443500e+00  1.73780083e+08  2.12443513e+00  1.73780083e+08 -1.78184216e+02  1.73780083e+08  1.81119803e+00  1.73780083e+08 -7.98092107e+01  1.73780083e+08  8.14503498e+00  1.73780083e+08 -1.07808662e+02 
 1.77827941e+08  2.12714657e+00  1.77827941e+08  2.12714666e+00  1.77827941e+08 -1.78233896e+02  1.77827941e+08  1.76141088e+00  1.77827941e+08 -7.96064123e+01  1.77827941e+08  8.14774652e+00  1.77827941e+08 -1.07605209e+02 
 1.81970086e+08  2.12974473e+00  1.81970086e+08  2.12974479e+00  1.81970086e+08 -1.78282943e+02  1.81970086e+08  1.71225437e+00  1.81970086e+08 -7.94037311e+01  1.81970086e+08  8.15034467e+00  1.81970086e+08 -1.07401901e+02 
 1.86208714e+08  2.13223385e+00  1.86208714e+08  2.13223388e+00  1.86208714e+08 -1.78331365e+02  1.86208714e+08  1.66372128e+00  1.86208714e+08 -7.92011624e+01  1.86208714e+08  8.15283377e+00  1.86208714e+08 -1.07198732e+02 
 1.90546072e+08  2.13461817e+00  1.90546072e+08  2.13461815e+00  1.90546072e+08 -1.78379168e+02  1.90546072e+08  1.61580359e+00  1.90546072e+08 -7.89987020e+01  1.90546072e+08  8.15521806e+00  1.90546072e+08 -1.06995698e+02 
 1.94984460e+08  2.13690176e+00  1.94984460e+08  2.13690170e+00  1.94984460e+08 -1.78426362e+02  1.94984460e+08  1.56849254e+00  1.94984460e+08 -7.87963456e+01  1.94984460e+08  8.15750164e+00  1.94984460e+08 -1.06792793e+02 
 1.99526231e+08  2.13908859e+00  1.99526231e+08  2.13908849e+00  1.99526231e+08 -1.78472955e+02  1.99526231e+08  1.52177874e+00  1.99526231e+08 -7.85940892e+01  1.99526231e+08  8.15968844e+00  1.99526231e+08 -1.06590011e+02 
 2.04173794e+08  2.14118248e+00  2.04173794e+08  2.14118233e+00  2.04173794e+08 -1.78518959e+02  2.04173794e+08  1.47565213e+00  2.04173794e+08 -7.83919286e+01  2.04173794e+08  8.16178231e+00  2.04173794e+08 -1.06387348e+02 
 2.08929613e+08  2.14318714e+00  2.08929613e+08  2.14318694e+00  2.08929613e+08 -1.78564384e+02  2.08929613e+08  1.43010211e+00  2.08929613e+08 -7.81898603e+01  2.08929613e+08  8.16378694e+00  2.08929613e+08 -1.06184799e+02 
 2.13796209e+08  2.14510611e+00  2.13796209e+08  2.14510586e+00  2.13796209e+08 -1.78609240e+02  2.13796209e+08  1.38511752e+00  2.13796209e+08 -7.79878803e+01  2.13796209e+08  8.16570589e+00  2.13796209e+08 -1.05982359e+02 
 2.18776162e+08  2.14694286e+00  2.18776162e+08  2.14694256e+00  2.18776162e+08 -1.78653539e+02  2.18776162e+08  1.34068672e+00  2.18776162e+08 -7.77859853e+01  2.18776162e+08  8.16754261e+00  2.18776162e+08 -1.05780024e+02 
 2.23872114e+08  2.14870070e+00  2.23872114e+08  2.14870034e+00  2.23872114e+08 -1.78697294e+02  2.23872114e+08  1.29679764e+00  2.23872114e+08 -7.75841718e+01  2.23872114e+08  8.16930043e+00  2.23872114e+08 -1.05577790e+02 
