# Logfile created on 2026-09-01 00:03:48 -0400 by logger.rb/61378
2026-09-01 00:03:48 -0400: Memory Usage (417460K) : via1_drw has 426 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417460K) : backmetal1_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417460K) : backmetal1_pin has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417460K) : backmetal1_mask has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417460K) : backmetal1_filler has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417460K) : backmetal1_nofill has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417724K) : backmetal1_slit has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417724K) : backmetal1_text has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417724K) : backmetal1_opc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417724K) : backmetal1_noqrc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417724K) : backmetal1_res has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417988K) : backmetal1_iprobe has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417988K) : backmetal1_diffprb has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417988K) : backpassiv_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417988K) : res_drw has 12 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417988K) : sram_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (417988K) : trans_drw has 12 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418252K) : ind_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418252K) : ind_pin has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418252K) : ind_text has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418252K) : salblock_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418252K) : via2_drw has 104 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418516K) : metal3_drw has 26 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418516K) : metal3_pin has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418516K) : metal3_mask has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418516K) : metal3_filler has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418516K) : metal3_nofill has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418516K) : metal3_slit has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418516K) : metal3_text has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418516K) : metal3_opc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418516K) : metal3_noqrc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418516K) : metal3_res has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418780K) : metal3_iprobe has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418780K) : metal3_diffprb has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418780K) : nwell_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418780K) : nwell_pin has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418780K) : nbulay_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418780K) : nbulay_pin has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (418780K) : nbulay_block has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419044K) : emwind_drw has 36 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419044K) : emwind_opc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419044K) : deepco_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419044K) : deepco_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419044K) : mim_drw has 3 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419044K) : edgeseal_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419308K) : edgeseal_bound has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419308K) : substrate_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419308K) : substrate_text has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419308K) : dfpad_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419308K) : dfpad_pillar has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419308K) : dfpad_sbump has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419572K) : thickgateox_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419572K) : pldb_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419572K) : pwell_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419572K) : pwell_pin has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419572K) : pwell_block has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419572K) : ic_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419836K) : via3_drw has 104 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419836K) : metal4_drw has 24 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419836K) : metal4_pin has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419836K) : metal4_mask has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419836K) : metal4_filler has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (419836K) : metal4_nofill has 3 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420100K) : metal4_slit has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420100K) : metal4_text has 4 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420100K) : metal4_opc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420100K) : metal4_noqrc has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420100K) : metal4_res has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420100K) : metal4_iprobe has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420364K) : metal4_diffprb has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420364K) : heattrans_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420364K) : heatres_drw has 12 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420364K) : pempoly_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420364K) : fbe_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420364K) : empoly_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420628K) : ldmos_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420628K) : pbiwind_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420628K) : digisub_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420628K) : nodrc_drw has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420628K) : text_drw has 72 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420628K) : via4_drw has 64 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420892K) : metal5_drw has 16 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420892K) : metal5_pin has 3 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420892K) : metal5_mask has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420892K) : metal5_filler has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (420892K) : metal5_nofill has 3 polygons
2026-09-01 00:03:48 -0400: Memory Usage (421156K) : metal5_slit has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (421156K) : metal5_text has 0 polygons
2026-09-01 00:03:48 -0400: Memory Usage (421156K) : metal5_opc has 0 polygons
